extra_code,incomecode,financecode,description, cost,vatcode
,8623,CREDIT,Borrower Account Credit,,O
,8623,ELECTPRT,Computer Printing, £ -   ,S
,8623,OVUNDER,Deficit/Surplus,,O
,8191,DONATIONS,Donations, £ -   ,O
,8623,EVENTS,Event tickets, £ -   ,S
,8623,EXHIBITION,Exhibition Booking Fee, £ 15.50 ,E
RQ32,8353,GREETINGS-B,Greetings Cards - B, £ 3.30 ,S
RQ32,8353,GREETINGS-D,Greetings Cards - D, £ 2.60 ,S
RQ32,8353,GREETINGS-DD,Greetings Cards - DD, £ 1.20 ,S
RQ32,8353,GREETINGS-EE,Greetings Cards - EE, £ 1.30 ,S
RQ32,8353,GREETINGS-F,Greetings Cards - F, £ 1.60 ,S
RQ32,8353,GREETINGS-FF,Greetings Cards - FF, £ 1.60 ,S
RQ32,8353,GREETINGS-G,Greetings Cards - G, £ 2.50 ,S
RQ32,8353,GREETINGS-GG,Greetings Cards - GG, £ 1.90 ,S
RQ32,8353,GREETINGS-GH,Greetings Cards - GH, £ 2.00 ,S
RQ32,8353,GREETINGS-H,Greetings Cards - H, £ 2.00 ,S
RQ32,8353,GREETINGS-HH,Greetings Cards - HH, £ 2.00 ,S
RQ32,8353,GREETINGS-HI,Greetings Cards - HI, £ 2.25 ,S
RQ32,8353,GREETINGS-II,Greetings Cards - II, £ 2.50 ,S
RQ32,8353,GREETINGS-IJ,Greetings Cards - IJ, £ 2.60 ,S
RQ32,8353,GREETINGS-JJ,Greetings Cards - JJ, £ 2.70 ,S
RQ32,8353,GREETINGS-K,Greetings Cards - K, £ 2.25 ,S
RQ32,8353,GREETINGS-LL,Greetings Cards - LL, £ 3.00 ,S
RQ32,8353,GREETINGS-MM,Greetings Cards - MM, £ 3.40 ,S
RQ32,8353,GREETINGS-P,Greetings Cards - P, £ 2.70 ,S
RQ32,8353,GREETINGS-QKK,Greetings Cards - Q/KK, £ 2.90 ,S
RQ32,8353,GREETINGS-S,Greetings Cards - S, £ 2.00 ,S
RQ32,8353,GREETINGS,Greetings Cards: Alan Nicholls, £ 2.20 ,S
RQ32,8353,GREETINGS,Greetings Cards: Andrew Dandridge, £ 1.40 ,S
